keyword,visibility_score,avg_monthly_search_volume,company,portion_of_visibility_score_over_monthly_search
PS5,2026582,2853065,PlayStation 5,0.7103175007
Nintendo Switch,1766588,2274070,Nintendo Switch,0.7768397631
PlayStation 5,1523795,1648874,PlayStation 5,0.9241427786
Xbox Series X,1144954,1520005,Xbox,0.7532567327
PS5 controller,1031343,1495137,PlayStation 5,0.6897983262
Nintendo Switch games,1539790,1414722,Nintendo Switch,1.088404648
Xbox controller,991012,1331966,Xbox,0.7440219946
Roblox gift card,579148,1318070,Roblox gift card,0.4393909276
PS5 console,911248,1210014,PlayStation 5,0.7530888072
Xbox Series S,775596,1177435,Xbox,0.6587166171
Xbox,852797,1065881,Xbox,0.8000865012
PS5 Games,856904,761659,PlayStation 5,1.125049399
Gaming headset,578593,590595,Gaming headset,0.9796781212
Quest 3,729596,443443,Quest 3,1.645298268
Switch games,909909,443301,Nintendo Switch,2.052576015
Nintendo Switch OLED,652856,322192,Nintendo Switch,2.02629488
Oculus Quest 3,555028,294975,Quest 3,1.881610306
